,0,1
132.0,0.716,1.263
135.0,2.082,1.975
136.0,2.19,2.628
137.0,2.173,2.751
148.0,1.753,2.397
149.0,3.5,2.177
153.0,4.237,3.112
154.0,2.256,1.781
155.0,1.642,2.82
164.0,1.9,2.444
165.0,1.805,2.117
168.0,1.101,2.353
175.0,1.361,2.502
185.0,1.284,2.167
186.0,2.42,2.289
189.0,2.228,1.988
190.0,2.985,2.081
191.0,1.832,2.097
204.0,0.882,3.193
205.0,1.657,1.662
208.0,1.669,2.704
219.0,2.117,2.694
220.0,1.3,1.847
223.0,1.186,1.365
224.0,2.651,2.619
232.0,2.706,3.035
233.0,2.316,3.037
236.0,1.288,2.423
237.0,2.871,2.049
238.0,1.473,1.885
10.0,1.854,1.894
11.0,1.966,1.68
12.0,2.14,2.046
13.0,2.126,2.148
14.0,1.988,1.616
15.0,2.177,2.134
23.0,1.61,1.788
24.0,1.428,15.26
27.0,1.836,1.88
28.0,1.734,1.79
31.0,2.033,1.945
43.0,1.647,1.894
44.0,1.949,2.028
45.0,1.929,1.519
46.0,1.882,1.594
58.0,2.058,1.768
59.0,1.305,1.661
67.0,1.919,1.421
68.0,1.746,1.634
78.0,1.857,1.935
79.0,1.996,1.692
81.0,2.18,1.904
98.0,1.876,1.984
99.0,2.007,1.581
101.0,1.936,1.81
102.0,2.01,1.942
103.0,1.69,2.481
104.0,2.006,1.748
105.0,2.119,1.807
122.0,2.325,1.908
123.0,1.821,1.767
131.0,1.781,1.651
132.0,1.764,1.975
133.0,1.772,1.794
134.0,1.749,1.576
146.0,1.575,1.804
147.0,1.577,1.597
149.0,2.149,1.68
150.0,1.933,1.679
151.0,1.757,2.451
152.0,1.718,2.108
153.0,1.999,1.578
163.0,1.98,2.495
164.0,1.956,1.977
165.0,1.913,1.626
166.0,1.498,1.764
7.0,1.95,3.11
8.0,1.888,3.386
9.0,3.719,2.739
10.0,2.31,2.24
13.0,2.759,2.879
14.0,1.268,1.186
23.0,1.018,2.668
24.0,1.731,1.994
25.0,2.261,1.908
26.0,1.338,2.328
44.0,3.239,4.188
45.0,2.075,2.878
46.0,3.535,4.311
47.0,3.282,1.502
48.0,1.09,0.887
49.0,3.322,2.316
60.0,2.088,1.991
61.0,2.2,1.086
65.0,0.889,1.181
66.0,1.422,0.383
67.0,1.374,0.795
81.0,0.6,1.55
82.0,1.777,1.544
85.0,3.574,2.641
98.0,2.53,2.931
99.0,1.812,1.992
103.0,2.175,1.959
104.0,2.267,1.877
105.0,0.632,0.931
114.0,3.468,3.493
115.0,0.833,1.915
116.0,3.586,2.45
117.0,4.203,3.822
118.0,0.382,1.04
119.0,1.294,0.767
131.0,2.962,2.685
132.0,0.967,1.877
134.0,3.092,2.22
135.0,3.579,1.463
136.0,3.17,2.671
148.0,0.52,2.28
149.0,3.185,1.343
151.0,1.309,1.323
167.0,1.256,1.774
168.0,2.686,2.364
172.0,2.745,2.789
173.0,0.981,2.808
174.0,1.685,1.138
185.0,2.35,1.583
188.0,1.84,2.224
189.0,1.442,2.757
198.0,1.321,1.5
199.0,1.475,1.633
202.0,1.392,2.672
203.0,3.198,2.442
204.0,2.142,2.08
215.0,1.007,2.006
216.0,1.128,0.822
220.0,0.631,1.541
221.0,2.476,2.737
222.0,1.838,1.464
237.0,0.685,1.685
238.0,1.896,2.081
240.0,1.381,1.027
241.0,1.989,2.268
242.0,1.504,2.092
243.0,0.533,2.627
253.0,1.231,2.779
254.0,1.286,2.507
255.0,2.447,1.791
256.0,2.178,1.743
257.0,1.649,0.967
258.0,0.896,2.022
259.0,1.776,1.484
18.0,2.164,1.54
19.0,2.09,1.936
20.0,1.643,1.559
25.0,1.878,1.922
42.0,2.405,1.912
43.0,2.068,1.95
44.0,1.741,2.141
45.0,2.253,2.129
46.0,2.072,1.655
47.0,1.863,1.846
56.0,1.928,1.958
57.0,1.616,1.728
58.0,1.513,2.34
59.0,1.898,1.935
60.0,1.952,1.726
61.0,1.787,1.723
70.0,1.644,1.944
71.0,1.728,1.885
73.0,1.816,1.969
74.0,1.886,1.692
86.0,1.817,2.164
87.0,1.523,2.053
92.0,1.848,1.856
104.0,1.732,1.551
105.0,1.75,1.658
110.0,2.241,1.864
111.0,1.751,1.855
112.0,1.779,1.7
122.0,2.067,1.734
123.0,1.514,2.007
127.0,2.115,2.068
128.0,1.762,2.108
129.0,1.772,2.049
130.0,2.008,1.905
143.0,1.638,1.806
144.0,1.598,1.633
146.0,1.827,1.707
147.0,1.722,1.754
148.0,1.597,1.954
159.0,1.94,1.696
160.0,,1.891
19.0,3.569,2.135
20.0,2.685,1.366
21.0,2.972,2.681
25.0,1.959,3.624
43.0,1.535,1.154
44.0,0.923,1.656
45.0,2.457,1.794
46.0,1.486,1.179
47.0,4.588,2.823
48.0,1.515,1.904
63.0,2.22,1.819
65.0,2.227,1.134
66.0,0.521,1.631
79.0,1.871,4.036
80.0,1.277,1.394
84.0,0.825,1.873
85.0,2.107,1.653
86.0,,1.779
87.0,,
12.0,1.112,1.968
13.0,2.132,1.464
14.0,1.804,0.97
15.0,0.446,1.026
16.0,2.221,1.115
17.0,1.179,2.409
18.0,1.719,0.639
30.0,-0.054,1.9
31.0,3.075,1.987
32.0,2.078,2.859
33.0,2.131,1.023
34.0,2.753,2.371
42.0,1.395,1.973
43.0,2.929,1.529
45.0,2.456,1.533
46.0,3.343,1.911
62.0,1.124,2.53
64.0,3.398,1.365
65.0,2.599,1.168
66.0,1.836,1.572
67.0,3.558,2.725
68.0,4.618,3.613
80.0,1.51,4.271
81.0,2.512,1.497
83.0,2.698,2.915
84.0,2.886,2.082
85.0,2.167,1.91
11.0,1.218,1.867
12.0,1.929,0.907
13.0,2.824,1.358
14.0,2.244,0.948
15.0,2.805,1.342
16.0,1.473,2.754
17.0,2.974,1.806
26.0,1.323,2.319
27.0,3.513,1.939
28.0,2.622,1.425
29.0,3.381,1.449
30.0,2.89,1.742
31.0,2.199,0.849
32.0,1.64,1.544
33.0,1.936,1.797
45.0,0.583,1.324
46.0,1.567,0.524
48.0,1.674,1.428
49.0,1.664,0.566
50.0,1.778,1.323
51.0,0.986,1.274
52.0,1.957,1.638
61.0,1.68,1.825
62.0,1.312,1.905
64.0,1.11,0.616
79.0,0.656,1.895
80.0,2.834,1.956
82.0,3.706,1.958
10.0,1.741,1.828
11.0,2.091,2.165
12.0,3.426,3.008
13.0,2.013,1.856
14.0,1.897,1.891
15.0,2.977,2.853
16.0,4.278,2.736
17.0,3.218,3.159
32.0,0.54,2.511
33.0,2.33,1.583
37.0,1.011,2.421
52.0,2.569,2.905
53.0,2.167,1.233
55.0,1.766,2.612
56.0,2.056,1.767
57.0,2.331,2.69
58.0,1.901,3.493
59.0,2.185,1.274
76.0,1.827,2.388
77.0,0.793,2.451
83.0,1.182,2.141
84.0,2.009,2.409
7.0,2.341,2.7
8.0,3.074,3.763
9.0,3.042,3.023
10.0,3.654,0.186
11.0,1.029,2.239
12.0,2.028,1.91
13.0,3.416,2.382
30.0,3.271,0.923
31.0,3.349,2.985
32.0,1.749,2.623
33.0,3.304,1.709
34.0,1.596,1.447
35.0,1.336,2.723
36.0,2.474,1.999
37.0,3.732,1.065
47.0,1.612,5.956
48.0,1.583,2.339
49.0,1.433,2.205
50.0,1.67,1.725
51.0,2.603,2.75
52.0,3.019,2.651
53.0,2.525,2.941
63.0,2.402,2.634
64.0,3.098,2.976
68.0,2.723,2.139
77.0,1.893,1.897
78.0,1.402,2.788
82.0,1.806,1.032
83.0,1.436,2.222
84.0,1.425,2.58
85.0,2.043,2.404
86.0,2.776,1.433
104.0,1.245,2.339
105.0,1.712,1.669
107.0,0.828,1.625
21.0,0.868,2.491
32.0,1.238,3.74
33.0,2.78,2.291
34.0,1.062,2.067
35.0,2.975,2.602
36.0,3.506,2.826
37.0,3.374,2.087
38.0,2.58,2.818
39.0,3.052,3.164
47.0,0.852,1.902
48.0,1.958,1.979
51.0,0.445,2.476
52.0,2.511,2.642
64.0,1.095,2.265
65.0,3.197,2.444
68.0,1.605,1.642
79.0,1.272,2.675
82.0,1.52,2.84
83.0,2.111,2.417
100.0,1.32,2.737
101.0,1.734,4.039
105.0,1.288,1.888
106.0,2.09,2.652
107.0,1.23,2.044
108.0,2.521,2.132
126.0,1.65,1.982
129.0,2.135,1.942
130.0,1.147,2.519
131.0,1.897,1.402
132.0,1.809,1.809
141.0,2.408,2.799
142.0,2.542,2.684
146.0,2.261,2.102
147.0,2.042,2.243
148.0,0.916,1.84
163.0,0.588,1.859
164.0,1.781,1.508
166.0,1.758,2.301
167.0,2.032,2.125
168.0,1.758,1.717
182.0,2.215,2.516
186.0,1.589,1.924
187.0,2.888,2.398
192.0,1.965,2.322
210.0,1.72,2.719
211.0,1.373,2.543
214.0,0.868,1.264
215.0,1.159,2.38
216.0,1.896,2.59
227.0,1.599,2.842
228.0,2.791,2.176
230.0,3.494,2.636
255.0,2.491,2.192
12.0,,
13.0,2.034,2.054
14.0,4.11,2.84
20.0,0.847,1.27
21.0,1.665,1.655
22.0,1.367,1.669
23.0,2.886,2.312
35.0,1.379,3.356
36.0,3.282,2.31
37.0,3.066,2.834
38.0,0.978,1.209
50.0,4.696,4.22
51.0,3.066,3.128
52.0,3.3,2.54
53.0,2.676,2.721
54.0,1.391,1.145
55.0,2.472,2.08
65.0,0.968,1.973
66.0,2.109,2.925
69.0,3.509,2.442
80.0,1.907,2.578
81.0,1.91,1.403
83.0,1.925,2.521
84.0,2.775,1.75
85.0,2.008,2.071
86.0,2.331,2.76
94.0,1.443,2.308
95.0,2.299,2.343
97.0,1.933,2.284
98.0,2.473,2.395
99.0,1.064,1.137
100.0,1.018,0.969
101.0,,2.707
13.0,0.624,2.354
14.0,1.617,2.874
15.0,1.231,2.866
16.0,2.31,2.912
29.0,1.55,3.411
30.0,1.59,2.653
31.0,1.885,3.319
34.0,1.387,2.576
44.0,1.191,3.055
45.0,0.925,2.365
49.0,1.465,3.333
61.0,1.5,2.639
68.0,1.891,3.456
69.0,1.891,3.311
70.0,1.73,2.77
82.0,1.865,3.274
83.0,1.049,2.811
88.0,1.585,3.965
96.0,2.369,3.635
102.0,1.225,3.513
103.0,1.746,3.0
117.0,1.175,3.387
121.0,2.173,4.033
122.0,1.951,3.525
123.0,1.07,2.524
124.0,1.306,3.684
125.0,2.104,3.568
136.0,1.209,2.719
137.0,0.719,2.399
141.0,0.642,3.101
142.0,2.052,2.717
143.0,1.186,3.302
144.0,0.967,3.522
145.0,2.677,2.692
155.0,0.467,3.203
156.0,1.261,3.551
160.0,0.712,2.672
179.0,1.664,3.444
180.0,1.943,3.645
183.0,1.144,3.049
10.0,2.875,3.723
11.0,1.638,3.008
12.0,2.354,2.192
13.0,2.021,1.952
14.0,1.596,2.65
27.0,1.977,3.147
28.0,1.613,2.862
29.0,1.454,2.523
30.0,2.085,3.634
31.0,1.087,2.803
32.0,1.956,2.088
33.0,1.608,3.065
34.0,1.091,2.819
45.0,0.725,3.107
46.0,2.635,2.762
50.0,0.926,1.966
51.0,1.152,1.49
64.0,1.247,3.656
69.0,2.755,4.198
70.0,3.062,3.384
71.0,2.803,1.088
72.0,2.167,2.54
73.0,2.168,1.038
89.0,1.774,2.477
90.0,2.341,2.833
93.0,1.632,1.929
104.0,1.873,3.676
105.0,1.551,2.85
108.0,2.221,2.552
109.0,2.636,1.912
110.0,2.865,2.9
111.0,2.637,0.632
112.0,1.853,3.225
127.0,1.528,1.737
128.0,2.516,1.645
131.0,1.776,2.558
143.0,0.434,1.704
144.0,2.4,3.022
149.0,3.299,2.678
161.0,1.975,2.144
162.0,1.026,3.53
169.0,1.302,2.446
170.0,2.442,1.518
171.0,0.904,2.706
184.0,2.922,1.575
185.0,1.937,2.022
187.0,1.898,1.643
188.0,1.114,1.374
189.0,2.407,2.299
190.0,1.701,1.968
205.0,2.229,3.163
206.0,1.031,2.029
209.0,2.365,1.607
210.0,1.333,2.36
211.0,1.358,3.602
212.0,3.029,2.37
213.0,1.195,1.581
225.0,0.872,1.331
226.0,1.235,2.482
